"区名","count","D","Date"
"緑区",2331,"2021年9月27日",2021-09-27
"中央区",4345,"2021年9月27日",2021-09-27
"南区",4098,"2021年9月27日",2021-09-27
"市外",824,"2021年9月27日",2021-09-27
"計",11598,"2021年9月27日",2021-09-27
"緑区",2292,"2021年9月20日",2021-09-20
"中央区",4282,"2021年9月20日",2021-09-20
"南区",4048,"2021年9月20日",2021-09-20
"市外",820,"2021年9月20日",2021-09-20
"計",11442,"2021年9月20日",2021-09-20
"緑区",2217,"2021年9月13日",2021-09-13
"中央区",4150,"2021年9月13日",2021-09-13
"南区",3957,"2021年9月13日",2021-09-13
"市外",810,"2021年9月13日",2021-09-13
"計",11134,"2021年9月13日",2021-09-13
"緑区",2352,"2021年10月4日",2021-10-04
"中央区",4375,"2021年10月4日",2021-10-04
"南区",4118,"2021年10月4日",2021-10-04
"市外",827,"2021年10月4日",2021-10-04
"計",11672,"2021年10月4日",2021-10-04
